Start (s),End (s),Segment
378.40,381.92,But Saturn just says he cannot comprehend the feelings of a mere insect.
382.08,385.04,"Suddenly, a massive thud rocks the island."
385.20,386.64,Kuma has arrived.
386.88,388.00,He's on a warpath.
388.16,394.32,The Marines see the signature palm print on his hand and start screaming that the tyrant has landed on the southwest shore.
394.56,399.28,"They unload everything they have, but he just keeps charging forward, soaking up gunfire."
399.52,400.88,Saturn is in disbelief.
401.04,409.28,"Vegapunk is confused, but as her father gets riddled with bullets, Bonnie just breaks, thinking she should just die after everything he's gone through for her."
409.52,415.12,She's crying her eyes out when Saturn screams at her to be silent and orders the Marines to shoot her in the head.
415.36,421.68,"Pause real quick, if Bonnie's tears and Kuma's badass comeback got you shook, smash that subscribe button to stay in the fight."
421.92,422.80,Drop a like too.
422.96,426.80,It gets this recap to more One Piece fans back to the chaos.
427.04,431.52,"Before they can even fire, Kuma unleashes an attack, blowing them all away."
431.76,438.72,"Enraged, Saturn throws Bonnie to the ground and raises his huge spider leg, aiming to impale and end her for good."
439.04,440.72,But a paw intercepts the blow.
440.96,445.36,"Kuma, her dad, got there just in time, taking the hit directly to his back for her."
445.60,448.88,"He holds his daughter close as she cries out to him, but he doesn't respond."
449.20,458.48,"He just rips Saturn's blood-soaked leg out of his own flesh, grabs it tight, and raises his other fist, which begins to glow and harden with black armament hacking."
458.64,466.48,"He is preparing to unleash every ounce of his fatherly rage, and for the first time, we see Saint Jay Garcia Saturn look visibly worried."
466.80,468.08,"No, terrified."
468.32,470.32,Luffy is about to be back in the game.
470.56,475.28,"And the moment Bonnie sees Gear 5 for herself and understands, she is getting a power-up."
475.44,477.52,The madness has only just begun.
477.84,482.48,"That's episode 1137, Bonnie's Heartbreak and Kuma's hacky-fueled rage."
482.72,483.76,Straight up legendary.
484.00,490.72,"If this recap got you hyped, smash that like button and comment 1138 below to spread it to more One Piece fans."
490.88,492.32,It'll get the next one out fast.
492.56,495.92,"Subscribe to keep the fire alive, and I'll catch you next time."
